,type,price,index,position,capital
261,SELL,580.9000244140625,2026-03-26 15:42:00+00:00,,117806.5812219039
262,BUY,580.75,2026-03-26 15:43:00+00:00,202.85248596109153,
263,SELL,581.25,2026-03-26 15:55:00+00:00,,117908.00746488445
264,BUY,580.8099975585938,2026-03-26 16:07:00+00:00,203.00616029425277,
265,SELL,581.030029296875,2026-03-26 16:08:00+00:00,,117952.67526321579
266,BUY,580.530029296875,2026-03-26 16:13:00+00:00,203.18100582338081,
267,SELL,580.8499755859375,2026-03-26 16:14:00+00:00,,118017.68227203697
268,BUY,578.6400146484375,2026-03-26 16:55:00+00:00,203.9570013901313,
269,SELL,578.9600219726562,2026-03-26 17:02:00+00:00,,118082.9500063075
270,BUY,575.7000122070312,2026-03-26 18:41:00+00:00,205.11194633055334,
271,SELL,575.469970703125,2026-03-26 18:42:00+00:00,,118035.76574570447
272,BUY,566.8499755859375,2026-03-27 14:54:00+00:00,208.2310502416342,
273,SELL,567.0900268554688,2026-03-27 14:55:00+00:00,,118085.7518736708
274,BUY,567.22998046875,2026-03-27 15:11:00+00:00,208.17967304211703,
275,SELL,567.1500244140625,2026-03-27 15:12:00+00:00,,118069.10664834823
276,BUY,568.1300048828125,2026-03-27 15:43:00+00:00,207.82057915195344,
277,SELL,568.2999877929688,2026-03-27 15:45:00+00:00,,118104.43259518284
278,BUY,568.2933959960938,2026-03-27 15:59:00+00:00,207.82298972201085,
279,SELL,568.0399780273438,2026-03-27 16:00:00+00:00,,118051.76651526793
280,BUY,566.5449829101562,2026-03-27 16:45:00+00:00,208.37139163932687,
281,SELL,566.8800048828125,2026-03-27 16:51:00+00:00,,118121.57550994006
282,BUY,566.6199951171875,2026-03-27 16:54:00+00:00,208.467008802805,
283,SELL,566.469970703125,2026-03-27 16:57:00+00:00,,118090.30036909305
284,BUY,566.469970703125,2026-03-27 16:58:00+00:00,208.467008802805,
285,SELL,566.0798950195312,2026-03-27 17:00:00+00:00,,118008.98245812755
286,BUY,566.4234008789062,2026-03-27 17:10:00+00:00,208.34058457863094,
287,SELL,566.3400268554688,2026-03-27 17:11:00+00:00,,117991.6122653459
288,BUY,563.64501953125,2026-03-27 18:40:00+00:00,209.33674241186856,
289,SELL,563.810302734375,2026-03-27 18:41:00+00:00,,118026.21211266349
290,BUY,562.5,2026-03-27 19:59:00+00:00,209.82437708917954,
